*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=energenie breakout board
*Date=11:04:07
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;7.4676;-19.2342;0;Bottom;Copper Fill84
106;;;3.6322;-50.1968;0;Bottom;Copper Fill5
107;;;47.5997;-16.8593;0;Bottom;Copper Fill47
108;;THT;49.0678;-42.6044;180;Bottom;J4
109;;;1.7526;-4.65455;0;Bottom;Copper Fill93
110;;;8.6868;-32.3152;0;Bottom;Copper Fill74
111;;;43.9756;-48.9227;0;Bottom;TXT2
112;;;3.6322;-22.2568;0;Bottom;Copper Fill83
113;;;17.272;-30.7912;0;Bottom;Copper Fill25
114;;;33.9688;-37.2891;0;Bottom;Via17
115;;;49.4031;-16.8593;0;Bottom;Copper Fill48
116;;;3.6322;-32.4168;0;Bottom;Copper Fill73
117;;;52.1209;-46.2343;0;Bottom;Copper Fill58
118;;;14.9352;-38.4112;0;Bottom;Copper Fill15
119;;;3.6322;-52.7367;0;Bottom;Copper Fill3
120;;;11.5189;-55.8356;0;Bottom;Copper Fill46
121;;;8.4074;-17.6848;0;Bottom;Copper Fill86
122;;;3.6322;-47.6568;0;Bottom;Copper Fill7
123;;;44.1288;-38.6063;0;Bottom;TXT2
124;;;14.6304;-33.3058;0;Bottom;Copper Fill71
125;;;12.4714;-35.3124;0;Bottom;Copper Fill67
126;;;3.6322;-9.55675;0;Bottom;Copper Fill37
127;;;46.9647;-38.8557;0;Bottom;Copper Fill50
128;;;12.0904;-15.348;0;Bottom;Copper Fill87
129;;;3.6322;-24.7968;0;Bottom;Copper Fill30
130;;;17.272;-33.3312;0;Bottom;Copper Fill22
131;;;53.6538;-13.1121;0;Bottom;TXT2
132;;;12.3952;-44.0754;0;Bottom;Via9
133;;;10.8204;-30.0292;0;Bottom;Copper Fill21
134;;;10.7696;-37.9794;0;Bottom;Via8
135;;;15.9512;-47.4028;0;Bottom;Copper Fill8
